,plotID,Model,ImageName,YYYYMMDD,LAI
54,CLBJ_003,0030,S2B_MSIL2A_20190425_0030_LAI.tif,20190425,1.8120834827423096
55,CLBJ_001,0030,S2B_MSIL2A_20190425_0030_LAI.tif,20190425,1.4213148355484009
56,CLBJ_002,0030,S2B_MSIL2A_20190425_0030_LAI.tif,20190425,1.845076084136963
57,CLBJ_003,0300,S2B_MSIL2A_20190425_0300_LAI.tif,20190425,0.8568553328514099
58,CLBJ_001,0300,S2B_MSIL2A_20190425_0300_LAI.tif,20190425,0.9175822734832764
59,CLBJ_002,0300,S2B_MSIL2A_20190425_0300_LAI.tif,20190425,0.8776941299438477
60,CLBJ_003,rest,S2B_MSIL2A_20190425_rest_LAI.tif,20190425,2.7072668075561523
61,CLBJ_001,rest,S2B_MSIL2A_20190425_rest_LAI.tif,20190425,2.1234898567199707
62,CLBJ_002,rest,S2B_MSIL2A_20190425_rest_LAI.tif,20190425,2.7537312507629395
63,CLBJ_003,rest,S2B_MSIL2A_20190515_rest_LAI.tif,20190515,3.7106130123138428
64,CLBJ_001,rest,S2B_MSIL2A_20190515_rest_LAI.tif,20190515,3.6928186416625977
65,CLBJ_002,rest,S2B_MSIL2A_20190515_rest_LAI.tif,20190515,3.8313486576080322
66,CLBJ_003,0300,S2B_MSIL2A_20190515_0300_LAI.tif,20190515,1.594630479812622
67,CLBJ_001,0300,S2B_MSIL2A_20190515_0300_LAI.tif,20190515,1.474905014038086
68,CLBJ_002,0300,S2B_MSIL2A_20190515_0300_LAI.tif,20190515,3.4632272720336914
69,CLBJ_003,0030,S2B_MSIL2A_20190515_0030_LAI.tif,20190515,2.104806423187256
70,CLBJ_001,0030,S2B_MSIL2A_20190515_0030_LAI.tif,20190515,1.83249032497406
71,CLBJ_002,0030,S2B_MSIL2A_20190515_0030_LAI.tif,20190515,2.8306286334991455
72,CLBJ_003,0030,S2A_MSIL2A_20190530_0030_LAI.tif,20190530,1.834608793258667
73,CLBJ_001,0030,S2A_MSIL2A_20190530_0030_LAI.tif,20190530,1.514946460723877
74,CLBJ_002,0030,S2A_MSIL2A_20190530_0030_LAI.tif,20190530,1.93606436252594
