datetime,Final_LAIe,Final_LAI
2017-08-08,1.0451053671864488,1.0989863402605318
2017-08-09,1.043059432717232,1.0970622493814415
2017-08-10,1.041013498248015,1.0951381585023512
2017-08-11,1.0389675637787983,1.093214067623261
2017-08-12,1.0369216293095815,1.0912899767441706
2017-08-13,1.0348756948403648,1.08936588586508
2017-08-14,1.032829760371148,1.0874417949859898
2017-08-15,1.0307838259019313,1.0855177041068995
2017-08-16,1.0208182818295601,1.0797172558308734
2017-08-17,1.010852737757189,1.0739168075548475
2017-08-18,1.0008871936848176,1.0681163592788214
2017-08-19,0.9909216496124464,1.0623159110027955
2017-08-20,0.9809561055400753,1.0565154627267694
2017-08-21,0.9709905614677041,1.0507150144507433
2017-08-22,0.9610250173953329,1.0449145661747175
2017-08-23,0.9510594733229617,1.0391141178986913
2017-08-24,0.9410939292505904,1.0333136696226652
2017-08-25,0.9311283851782193,1.0275132213466394
2017-08-26,0.921162841105848,1.0217127730706133
2017-08-27,0.9111972970334768,1.0159123247945874
2017-08-28,0.9012317529611056,1.0101118765185613
2017-08-29,0.8912662088887344,1.0043114282425352
2017-08-30,0.8813006648163633,0.9985109799665093
2017-08-31,0.871335120743992,0.9927105316904832
2017-09-01,0.8613695766716208,0.9869100834144572
2017-09-02,0.8514040325992496,0.9811096351384312
2017-09-03,0.8414384885268784,0.9753091868624052
2017-09-04,0.8314729444545073,0.9695087385863792
2017-09-05,0.821507400382136,0.9637082903103531
2017-09-06,0.8115418563097648,0.9579078420343271
2017-09-07,0.8015763122373936,0.9521073937583011
2017-09-08,0.7916107681650224,0.946306945482275
2017-09-09,0.7816452240926512,0.940506497206249
2017-09-10,0.77167968002028,0.934706048930223
2017-09-11,0.7617141359479087,0.928905600654197
2017-09-12,0.7517485918755376,0.923105152378171
2017-09-13,0.7417830478031664,0.9173047041021449
2017-09-14,0.7318175037307952,0.9115042558261189
2017-09-15,0.721851959658424,0.9057038075500929
2017-09-16,0.7208996214380571,0.9032324983303116
2017-09-17,0.7199472832176902,0.9007611891105303
2017-09-18,0.7189949449973232,0.8982898798907489
2017-09-19,0.7180426067769563,0.8958185706709676
2017-09-20,0.7170902685565894,0.8933472614511863
2017-09-21,0.7161379303362225,0.8908759522314049
2017-09-22,0.7151855921158555,0.8884046430116236
2017-09-23,0.7142332538954886,0.8859333337918421
2017-09-24,0.7132809156751218,0.8834620245720608
2017-09-25,0.7123285774547549,0.8809907153522795
2017-09-26,0.7113762392343879,0.8785194061324981
2017-09-27,0.710423901014021,0.8760480969127168
2017-09-28,0.7094715627936541,0.8735767876929355
2017-09-29,0.7085192245732872,0.8711054784731541
2017-09-30,0.7075668863529203,0.8686341692533728
2017-10-01,0.7066145481325533,0.8661628600335914
2017-10-02,0.7056622099121864,0.8636915508138101
